ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.511
2,Dynamic Attribute,3000,0,0.489
3,Security,3000,1,0.232
4,fee,3000,1,0.045
5,Robustness,3000,1,0.076
6,Interface stability,3000,1,0.159
7,Performance,3000,2,0.100
8,Availability,3000,2,0.134
9,Reputation,3000,2,0.033
10,Reliability,3000,2,0.221
11,Encryption algorithm,3000,3,0.031
12,Traceability rating,3000,3,0.036
13,Classified level,3000,3,0.029
14,Access,3000,3,0.136
15,Exception handling capability,3000,5,0.037
16,Self-recovery capability,3000,5,0.039
17,Throughput,3000,7,0.031
18,Delay,3000,7,0.031
19,Service run time,3000,7,0.038
20,Response time,3000,8,0.134
21,User satisfaction,3000,9,0.033
22,Average Response Time,3000,10,0.035
23,Call Success Rate,3000,10,0.050
24,Consistency,3000,10,0.136
