ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.504
2,Dynamic Attribute,3000,0,0.496
3,Security,3000,1,0.257
4,fee,3000,1,0.039
5,Robustness,3000,1,0.074
6,Interface stability,3000,1,0.134
7,Performance,3000,2,0.119
8,Availability,3000,2,0.118
9,Reputation,3000,2,0.028
10,Reliability,3000,2,0.230
11,Encryption algorithm,3000,3,0.039
12,Traceability rating,3000,3,0.042
13,Classified level,3000,3,0.047
14,Access,3000,3,0.130
15,Exception handling capability,3000,5,0.033
16,Self-recovery capability,3000,5,0.041
17,Throughput,3000,7,0.042
18,Delay,3000,7,0.037
19,Service run time,3000,7,0.040
20,Response time,3000,8,0.118
21,User satisfaction,3000,9,0.028
22,Average Response Time,3000,10,0.040
23,Call Success Rate,3000,10,0.043
24,Consistency,3000,10,0.147
