ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.530
2,Dynamic Attribute,3000,0,0.470
3,Security,3000,1,0.270
4,fee,3000,1,0.038
5,Robustness,3000,1,0.083
6,Interface stability,3000,1,0.139
7,Performance,3000,2,0.073
8,Availability,3000,2,0.115
9,Reputation,3000,2,0.043
10,Reliability,3000,2,0.240
11,Encryption algorithm,3000,3,0.044
12,Traceability rating,3000,3,0.045
13,Classified level,3000,3,0.039
14,Access,3000,3,0.142
15,Exception handling capability,3000,5,0.042
16,Self-recovery capability,3000,5,0.041
17,Throughput,3000,7,0.025
18,Delay,3000,7,0.025
19,Service run time,3000,7,0.023
20,Response time,3000,8,0.115
21,User satisfaction,3000,9,0.043
22,Average Response Time,3000,10,0.055
23,Call Success Rate,3000,10,0.033
24,Consistency,3000,10,0.152
