ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.500
2,Dynamic Attribute,3000,0,0.500
3,Security,3000,1,0.248
4,fee,3000,1,0.029
5,Robustness,3000,1,0.076
6,Interface stability,3000,1,0.146
7,Performance,3000,2,0.115
8,Availability,3000,2,0.148
9,Reputation,3000,2,0.034
10,Reliability,3000,2,0.204
11,Encryption algorithm,3000,3,0.036
12,Traceability rating,3000,3,0.040
13,Classified level,3000,3,0.040
14,Access,3000,3,0.132
15,Exception handling capability,3000,5,0.037
16,Self-recovery capability,3000,5,0.039
17,Throughput,3000,7,0.044
18,Delay,3000,7,0.046
19,Service run time,3000,7,0.025
20,Response time,3000,8,0.148
21,User satisfaction,3000,9,0.034
22,Average Response Time,3000,10,0.036
23,Call Success Rate,3000,10,0.034
24,Consistency,3000,10,0.133
