ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.524
2,Dynamic Attribute,3000,0,0.476
3,Security,3000,1,0.264
4,fee,3000,1,0.044
5,Robustness,3000,1,0.093
6,Interface stability,3000,1,0.122
7,Performance,3000,2,0.110
8,Availability,3000,2,0.134
9,Reputation,3000,2,0.034
10,Reliability,3000,2,0.198
11,Encryption algorithm,3000,3,0.054
12,Traceability rating,3000,3,0.029
13,Classified level,3000,3,0.032
14,Access,3000,3,0.150
15,Exception handling capability,3000,5,0.046
16,Self-recovery capability,3000,5,0.047
17,Throughput,3000,7,0.037
18,Delay,3000,7,0.029
19,Service run time,3000,7,0.044
20,Response time,3000,8,0.134
21,User satisfaction,3000,9,0.034
22,Average Response Time,3000,10,0.037
23,Call Success Rate,3000,10,0.039
24,Consistency,3000,10,0.122
