ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.502
2,Dynamic Attribute,3000,0,0.498
3,Security,3000,1,0.246
4,fee,3000,1,0.030
5,Robustness,3000,1,0.078
6,Interface stability,3000,1,0.147
7,Performance,3000,2,0.094
8,Availability,3000,2,0.151
9,Reputation,3000,2,0.051
10,Reliability,3000,2,0.203
11,Encryption algorithm,3000,3,0.030
12,Traceability rating,3000,3,0.028
13,Classified level,3000,3,0.034
14,Access,3000,3,0.154
15,Exception handling capability,3000,5,0.053
16,Self-recovery capability,3000,5,0.026
17,Throughput,3000,7,0.036
18,Delay,3000,7,0.024
19,Service run time,3000,7,0.035
20,Response time,3000,8,0.151
21,User satisfaction,3000,9,0.051
22,Average Response Time,3000,10,0.036
23,Call Success Rate,3000,10,0.037
24,Consistency,3000,10,0.130
