ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.504
2,Dynamic Attribute,3000,0,0.496
3,Security,3000,1,0.275
4,fee,3000,1,0.037
5,Robustness,3000,1,0.066
6,Interface stability,3000,1,0.126
7,Performance,3000,2,0.103
8,Availability,3000,2,0.134
9,Reputation,3000,2,0.033
10,Reliability,3000,2,0.226
11,Encryption algorithm,3000,3,0.039
12,Traceability rating,3000,3,0.047
13,Classified level,3000,3,0.039
14,Access,3000,3,0.150
15,Exception handling capability,3000,5,0.034
16,Self-recovery capability,3000,5,0.031
17,Throughput,3000,7,0.034
18,Delay,3000,7,0.031
19,Service run time,3000,7,0.038
20,Response time,3000,8,0.134
21,User satisfaction,3000,9,0.033
22,Average Response Time,3000,10,0.030
23,Call Success Rate,3000,10,0.034
24,Consistency,3000,10,0.162
