ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.498
2,Dynamic Attribute,3000,0,0.502
3,Security,3000,1,0.255
4,fee,3000,1,0.034
5,Robustness,3000,1,0.078
6,Interface stability,3000,1,0.130
7,Performance,3000,2,0.113
8,Availability,3000,2,0.153
9,Reputation,3000,2,0.035
10,Reliability,3000,2,0.201
11,Encryption algorithm,3000,3,0.038
12,Traceability rating,3000,3,0.031
13,Classified level,3000,3,0.046
14,Access,3000,3,0.140
15,Exception handling capability,3000,5,0.043
16,Self-recovery capability,3000,5,0.035
17,Throughput,3000,7,0.032
18,Delay,3000,7,0.044
19,Service run time,3000,7,0.037
20,Response time,3000,8,0.153
21,User satisfaction,3000,9,0.035
22,Average Response Time,3000,10,0.039
23,Call Success Rate,3000,10,0.034
24,Consistency,3000,10,0.128
