ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.477
2,Dynamic Attribute,3000,0,0.523
3,Security,3000,1,0.234
4,fee,3000,1,0.027
5,Robustness,3000,1,0.068
6,Interface stability,3000,1,0.149
7,Performance,3000,2,0.110
8,Availability,3000,2,0.152
9,Reputation,3000,2,0.032
10,Reliability,3000,2,0.228
11,Encryption algorithm,3000,3,0.048
12,Traceability rating,3000,3,0.032
13,Classified level,3000,3,0.031
14,Access,3000,3,0.122
15,Exception handling capability,3000,5,0.031
16,Self-recovery capability,3000,5,0.037
17,Throughput,3000,7,0.037
18,Delay,3000,7,0.035
19,Service run time,3000,7,0.038
20,Response time,3000,8,0.152
21,User satisfaction,3000,9,0.032
22,Average Response Time,3000,10,0.036
23,Call Success Rate,3000,10,0.037
24,Consistency,3000,10,0.155
