ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.478
2,Dynamic Attribute,3000,0,0.522
3,Security,3000,1,0.240
4,fee,3000,1,0.033
5,Robustness,3000,1,0.060
6,Interface stability,3000,1,0.145
7,Performance,3000,2,0.127
8,Availability,3000,2,0.141
9,Reputation,3000,2,0.041
10,Reliability,3000,2,0.213
11,Encryption algorithm,3000,3,0.042
12,Traceability rating,3000,3,0.039
13,Classified level,3000,3,0.037
14,Access,3000,3,0.122
15,Exception handling capability,3000,5,0.021
16,Self-recovery capability,3000,5,0.039
17,Throughput,3000,7,0.048
18,Delay,3000,7,0.039
19,Service run time,3000,7,0.041
20,Response time,3000,8,0.141
21,User satisfaction,3000,9,0.041
22,Average Response Time,3000,10,0.043
23,Call Success Rate,3000,10,0.045
24,Consistency,3000,10,0.125
