ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.485
2,Dynamic Attribute,3000,0,0.515
3,Security,3000,1,0.218
4,fee,3000,1,0.043
5,Robustness,3000,1,0.058
6,Interface stability,3000,1,0.166
7,Performance,3000,2,0.115
8,Availability,3000,2,0.137
9,Reputation,3000,2,0.034
10,Reliability,3000,2,0.228
11,Encryption algorithm,3000,3,0.033
12,Traceability rating,3000,3,0.038
13,Classified level,3000,3,0.025
14,Access,3000,3,0.121
15,Exception handling capability,3000,5,0.035
16,Self-recovery capability,3000,5,0.023
17,Throughput,3000,7,0.045
18,Delay,3000,7,0.037
19,Service run time,3000,7,0.034
20,Response time,3000,8,0.137
21,User satisfaction,3000,9,0.034
22,Average Response Time,3000,10,0.039
23,Call Success Rate,3000,10,0.041
24,Consistency,3000,10,0.148
