ID,name,size,parentID,value
0,Base Web Service,3000,,1.000
1,Static Attribute,3000,0,0.512
2,Dynamic Attribute,3000,0,0.488
3,Security,3000,1,0.263
4,fee,3000,1,0.031
5,Robustness,3000,1,0.080
6,Interface stability,3000,1,0.137
7,Performance,3000,2,0.095
8,Availability,3000,2,0.120
9,Reputation,3000,2,0.051
10,Reliability,3000,2,0.221
11,Encryption algorithm,3000,3,0.042
12,Traceability rating,3000,3,0.035
13,Classified level,3000,3,0.049
14,Access,3000,3,0.137
15,Exception handling capability,3000,5,0.033
16,Self-recovery capability,3000,5,0.047
17,Throughput,3000,7,0.039
18,Delay,3000,7,0.022
19,Service run time,3000,7,0.034
20,Response time,3000,8,0.120
21,User satisfaction,3000,9,0.051
22,Average Response Time,3000,10,0.036
23,Call Success Rate,3000,10,0.030
24,Consistency,3000,10,0.155
