.NET Daily Fact	http://www.seanco.com/	http://xmlme.com/WebServices	http://www.xmlme.com/WSDailyNet.asmx	kevinc@xmlme.com ; mau@xmlme.com	Random	SOAP 		None
.tel	http://www.telnic.org	null	http://dev.telnic.org/api/client-soap/index.html	null	Domains	SOAP 		null
100 Facts About Me	http://100faktovobomne.ru	http://100faktovobomne.ru/xmlrpc	http://100faktovobomne.ru/page/view/api	http://100faktovobomne.ru/page/view/contacts	Social	XML 		null
100TB	http://www.100tb.com/	https://cp.100tb.com/rest-api/	https://cp.100tb.com/rest-api/docs/	support@100tb.com	Backend	REST 		null
10x10	http://tenbyten.org	http://tenbyten.org/Data/global	http://www.tenbyten.org/developers.html	null	Photos	HTTP 		null
11870	http://11870.com/	http://11870.com/api/	http://11870.com/api	http://11870.com/interaction	Search	REST 		OAuth with API Key
123Cloud ECP	http://www.123cloud.nl/	http://www.123cloud.nl/api/rest	http://www.123cloud.nl/docs/api.html	nfo@123cloud.nl	Storage	REST 		HTTP Basic Authentication
123Cloud SMS Broadcasting	http://www.123cloud.co.uk/	http://127.0.0.1:9501/api	http://www.123cloud.co.uk/sms	null	Messaging	SMPP 		null
123ContactForm	http://www.123contactform.com	null	http://www.123contactform.com/api/	null	Tools	REST 		API Key
140 Proof	http://www.140proof.com	http://api.140proof.com	http://api.140proof.com/	null	Advertising	REST 		null
1Map	http://1map.co.za/	http://www.1map.co.za	http://1map.co.za/api	pam@1map.co.za	Mapping	REST 		null
2011 International Computational Billiards Championships	http://www.stanford.edu/group/billiards/	null	http://www.stanford.edu/group/billiards/api.html	null	Sports	XML 		User Password
23	http://23hq.com	http://www.23hq.com/services/rest	http://www.23hq.com/doc/api/	api@23hq.com	Photos	REST 		[[http://www.23hq.com/doc/api/auth Similar to Flickr]]
23andMe	https://www.23andme.com/	https://api.23andme.com/1	https://api.23andme.com/	null	Science	REST 		OAuth 2.0 bearer tokens over SSL
24 Pull Requests	http://24pullrequests.com/	http://24pullrequests.com/	http://24pullrequests.com/api	null	Events	REST 		null
24X7SMS	http://www.24x7sms.com/IN/index.aspx	http://intapi.24X7SMS.com/api/sendsms/xml	http://www.24x7sms.com/in/services.aspx	helpdesk@24x7sms.com	Messaging	SMPP 		null
2sms	http://www.2sms.com/	null	http://www.2sms.com/software.aspx	support@2sms.com	Messaging	SOAP 		null
3.0 Trippin&amp;#039; in	http://www.trippinin.com	http://api.v1.trippinin.com	http://www.trippinin.com/#!api/c1o45	api@trippinin.com	Travel	REST 		API Key
30Loops	https://30loops.net/	https://api.30loops.net/	https://30loops.net/docs/user-documentation/rest_api/	mail@30loops.net	Backend	REST 		HTTP Basic Authentication over SSL
