11870	http://11870.com/	http://11870.com/api/	http://11870.com/api	http://11870.com/interaction	Search	REST 		OAuth with API Key
123Cloud ECP	http://www.123cloud.nl/	http://www.123cloud.nl/api/rest	http://www.123cloud.nl/docs/api.html	nfo@123cloud.nl	Storage	REST 		HTTP Basic Authentication
3.0 Trippin&amp;#039; in	http://www.trippinin.com	http://api.v1.trippinin.com	http://www.trippinin.com/#!api/c1o45	api@trippinin.com	Travel	REST 		API Key
AASHE STARS	http://www.aashe.org/	https://stars.aashe.org/api/0.1/	http://stars-api-documentation.readthedocs.org/en/latest/	stars@aashe.org	Education	REST 		API Key
Achievement Standards Network	http://www.jesandco.org/	http://asn.jesandco.org/api/1/	http://asn.jesandco.org/content/asn-web-services-overview	JosephC@jesandco.org	Education	REST 		Public
Achta Sepa	http://www.achta.com	https://api.achta.com/FinancePlatform/	https://www.achta.com/AchtaIBANApi.pdf	info@achta.com	Financial	REST 		API Key
ActionKit	http://actionkit.com/	https://roboticdogs.actionkit.com/rest/v1/	https://roboticdogs.actionkit.com/docs/manual/api/rest/index.html	demos@wawd.com	Social	REST 		HTTP Basic Authenticaiton
AdaptivePlanning	http://www.adaptiveplanning.com	http://webservices.adaptiveplanning.com/	http://www.adaptiveplanning.com/products/data-integration/	support@adaptiveplanning.com	Financial	SOAP 		HTTP Basic Authentication
Adform	http://www.adform.com/	https://api.adform.com/Services/	http://api.adform.com/Services/Documentation/Index.htm	support@adform.com	Advertising	SOAP 		API Key
Adriatic.hr	http://www.adriatic.hr/en	https://www.adriatic.hr/services/rest/	http://www.adriatic.hr/en/subagent/xmlapi	info@adriatic.hr	Travel	REST 		API Key
AdventureLink	http://www.adventurelink.com/	http://api.adventurelink.com/trips	http://api.adventurelink.com/	support@adventurelink.com	Travel	REST 		API Key
Afla.MD	http://edu.md/	http://afla.md/ws/	http://afla.md/info/api/?&amp;lang=english	iurie@edu.md	Education	REST 		Public
AlchemyAPI	http://www.alchemyapi.com	http://access.alchemyapi.com	http://www.alchemyapi.com/developers/	general@alchemyapi.com	Tools	REST 		API Key
ALTER Reflective	http://sing.ei.uvigo.es/	http://sing.ei.uvigo.es/ALTER/api/convert	http://sing.ei.uvigo.es/jarvest/	dgpena@uvigo.es	Science	REST 		Public
AlterGeo	http://altergeo.ru/	http://altergeo.ru/openapi/v1	http://altergeo.ru/open_api	info@altergeo.ru	Social	REST 		HTTP Basic Authentication
Ambassador	https://getambassador.com/	https://getambassador.com/api	https://getambassador.com/api	support@getambassador.com	Social	HTTP 		URI
AMEE	http://www.amee.com	http://live.amee.com	https://www.amee.com/pages/api	help@amee.com	Science	REST 		Username and password
Amplitude	https://amplitude.com	https://amplitude.com/api/1/	https://amplitude.com/docs	contact@amplitude.com	Tools	REST 		API Key
Anedot	https://anedot.com/	https://api.anedot.com/{version}	http://www.anedot.com/api/v2/	info@anedot.com	Payments	REST 		HTTP Basic Authentication
Animetrics Face Recognition	http://animetrics.com/	http://api.animetrics.com/v1/	http://api.animetrics.com	api@animetrics.com	Tools	HTTP 		API Key
Apicultur Word Lemmatizer	http://www.apicultur.com/	http://store.apicultur.com/api/lematiza-clasico/1.0.0	https://store.apicultur.com/apis/info?name=LematizadorClasico&amp;version=1.0.0&amp;prov...	admin@apicultur.com	Tools	REST 		API Key, OAuth
App.net	https://join.app.net/	https://alpha-api.app.net	https://join.app.net/	support@app.net	Social	REST 		OAuth2 SSL
AppDirect	http://www.appdirect.com/	https://www.appdirect.com/api?_wadl	http://info.appdirect.com/developers/docs/api_integration/api_overview	developer@appdirect.com	Cloud	REST 		OAuth, OpenID
Archivme	http://www.archivme.com/us	http://plist.api.seedhack.archivme.com	http://developer.archivme.net/	fabien@archivme.com	Financial	REST 		Basic Authentication, API Token
Arrayent	http://www.arrayent.com/	https://api2.arrayent.com:8081/zdk/services/zamapi/	http://developer.arrayent.com/cloud/ws/api.php	info@arrayent.com	Tools	XML 		HTTP Basic Auth, Token
Arts Holland	http://artsholland.com	http://api.artsholland.com/rest/	http://dev.artsholland.com/api/	 info@artsholland.com	Travel	REST 		API Key
atama	http://www.atama.io	 http://cloud.atama.io/1.0/	http://atama.io/api.html	info@atama.io	Tools	REST 		OAuth
Athlinks	http://athlinks.com/	http://api.athlinks.com/	http://api.athlinks.com/	developer@athlinks.com	Sports	REST 		API key
