.NET Daily Fact	http://www.seanco.com/	http://xmlme.com/WebServices	http://www.xmlme.com/WSDailyNet.asmx	kevinc@xmlme.com ; mau@xmlme.com	Random	SOAP 		None
11870	http://11870.com/	http://11870.com/api/	http://11870.com/api	http://11870.com/interaction	Search	REST 		OAuth with API Key
123Cloud ECP	http://www.123cloud.nl/	http://www.123cloud.nl/api/rest	http://www.123cloud.nl/docs/api.html	nfo@123cloud.nl	Storage	REST 		HTTP Basic Authentication
23	http://23hq.com	http://www.23hq.com/services/rest	http://www.23hq.com/doc/api/	api@23hq.com	Photos	REST 		[[http://www.23hq.com/doc/api/auth Similar to Flickr]]
3.0 Trippin&amp;#039; in	http://www.trippinin.com	http://api.v1.trippinin.com	http://www.trippinin.com/#!api/c1o45	api@trippinin.com	Travel	REST 		API Key
30Loops	https://30loops.net/	https://api.30loops.net/	https://30loops.net/docs/user-documentation/rest_api/	mail@30loops.net	Backend	REST 		HTTP Basic Authentication over SSL
31Events	http://31events.com/	https://31events.com/api/index.cfm/	Native Calendar Invites	pinke@31events.com	Calendars	SMTP 		API Key, HTTP Basic Auth, Token, API Key
360Text	http://www.360text.com/index.asp	http://SMSAPI.360text.com/smsadmin/	http://www.txtimpact.com/text-message-service/	support@360text.com	Messaging	REST 		HTTP Basic Authentication
3Jam	http://3jam.com	https://api.3jam.com/webapi.php	http://www.3jam.com/api.php	support@3jam.com.	Messaging	REST 		API Key
46elks	http://www.46elks.com	https://api.46elks.com/a1/	http://www.46elks.com/	help@46elks.com	Telephony	REST 		HTTP Basic Authentication
511 Driving Times	http://511.org/	http://services.my511.org/traffic/	http://511.org/developer-resources_driving-times-api.asp	developerresources@511.org	Transportation	REST 		Security Token
511 Real-time Transit Departures	http://511.org/	http://services.my511.org/	http://511.org/developer-resources_transit-api.asp	developerresources@511.org	Transportation	REST 		Security Token
5centSMS	https://www.5centsms.com.au/sms/home	https://www.5centsms.com.au/api/	https://www.5centsms.com.au/sms/developers	help@5centsms.zendesk.com	Messaging	REST 		HTTP Basic Authentication
5Min Videopedia	http://on.aol.com/	http://api.5min.com/video/	https://support.aolonnetwork.com/API/Videos#multiple	video.support@teamaol.com	Video	REST 		None
AASHE STARS	http://www.aashe.org/	https://stars.aashe.org/api/0.1/	http://stars-api-documentation.readthedocs.org/en/latest/	stars@aashe.org	Education	REST 		API Key
Abbreviations	http://abbreviations.com	http://www.abbreviations.com/services/v1/abbr.aspx	http://www.abbreviations.com/abbr_api.php	http://www.abbreviations.com/contact.asp	Reference	REST 		API Key
Ably	http://www.ably.io	https://rest.ably.io/	http://docs.ably.io/rest-api/	hello@ably.io	Messaging	REST 		HTTP Basic, API Token
AccuZIP Toolkit	http://www.accuzip.com/	http://www.accuzip.com/products/toolkit/index.htm	AccuZIP	support@accuzip.com	Mail	XML 		API Key
Achievement Standards Network	http://www.jesandco.org/	http://asn.jesandco.org/api/1/	http://asn.jesandco.org/content/asn-web-services-overview	JosephC@jesandco.org	Education	REST 		Public
Achta Sepa	http://www.achta.com	https://api.achta.com/FinancePlatform/	https://www.achta.com/AchtaIBANApi.pdf	info@achta.com	Financial	REST 		API Key
Acromine	http://www.nactem.ac.uk	http://www.nactem.ac.uk/software/acromine/dictionary.py	http://www.nactem.ac.uk/software/acromine/rest.html	nactem-services@listserv.manchester.ac.uk	Dictionary	REST 		Public
ActionKit	http://actionkit.com/	https://roboticdogs.actionkit.com/rest/v1/	https://roboticdogs.actionkit.com/docs/manual/api/rest/index.html	demos@wawd.com	Social	REST 		HTTP Basic Authenticaiton
Active	http://developer.active.com	http://api.amp.active.com	http://developer.active.com/docs/Home	jarred.doss@activenetwork.com	Events	REST 		API Key
ActiveBuilding	http://www.activebuilding.com	http://api.activebuilding.com/	https://developer.activebuilding.com/docs	api@activebuilding.com	Project Management	REST 		API Key
ActiveTick Market Data	http://www.activetick.com	http://www.activetick.com/activetick/contents/PersonalServicesDataAPIOverview.aspx	ActiveTick	inquiries@activetick.com	Stocks	HTTP 		API Key, Other/Custom
Actual Reports	http://actualreports.com/	https://actualreports.com/Api/	http://actualreports.com/docs	info@actualreports.com	Office	REST 		API Key
AdaptivePlanning	http://www.adaptiveplanning.com	http://webservices.adaptiveplanning.com/	http://www.adaptiveplanning.com/products/data-integration/	support@adaptiveplanning.com	Financial	SOAP 		HTTP Basic Authentication
AddressDoctor	http://www.addressdoctor.com/en/home.html	http://www.addressdoctor.com/en/home.html	http://www.addressdoctor.com/en/support/documentation.html	info@AddressDoctor.com	Shipping	XML 		HTTP Basic Auth
AddressFinder	http://addressfinder.co.nz/	http://addressfinder.co.nz/api/	http://addressfinder.co.nz/docs	contact@abletech.co.nz	Mapping	HTTP 		API Key
Adform	http://www.adform.com/	https://api.adform.com/Services/	http://api.adform.com/Services/Documentation/Index.htm	support@adform.com	Advertising	SOAP 		API Key
AdmitPad	http://admitpad.com/	https://app.admitpad.com/api/v1/	http://matchbox.net/api/	info@admitpad.com	Enterprise	REST 		HTTP Basic Authentication
Adriatic.hr	http://www.adriatic.hr/en	https://www.adriatic.hr/services/rest/	http://www.adriatic.hr/en/subagent/xmlapi	info@adriatic.hr	Travel	REST 		API Key
AdventureLink	http://www.adventurelink.com/	http://api.adventurelink.com/trips	http://api.adventurelink.com/	support@adventurelink.com	Travel	REST 		API Key
AES WebLink	http://aesdirect.gov	https://aesdirect.census.gov/support/weblink_api.html	AES Direct Developers Center	askaes@census.gov	Government	Text 		API Key, HTTP Basic Auth
Afla.MD	http://edu.md/	http://afla.md/ws/	http://afla.md/info/api/?&amp;lang=english	iurie@edu.md	Education	REST 		Public
AfterShip	http://www.aftership.com/	https://api.aftership.com/v3	https://www.aftership.com/docs/api/3.0	support@aftership.com	Shipping	REST 		API Key
